START,,,,,,
ID,0x700,,,,,
Signal,Start,Len,Offset,Min,Max,Res
soundtype,0,3,0,0,7,1
timedistanceswitch,16,1,0,0,1,1
carheadtimedistance,17,7,0,0,9.9,0.1
error,24,1,0,0,1,1
errorcode,25,7,0,0,124,1
LDWswitch,32,1,0,0,1,1
Left LDW ,33,1,0,0,1,1
Right LDW ,34,1,0,0,1,1
fcw_on,35,1,0,0,1,1
tsr Level,48,3,0,0,7,1
hmw_level,56,2,0,0,3,1
hmw_repeat_enable,58,1,0,0,1,1
END,,,,,,
,,,,,,
,,,,,,
,,,,,,
START,,,,,,
ID,0x780,,,,,
Signal,Start,Len,Offset,Min,Max,Res
soundtype,0,4,0,0,7,1
timedistanceswitch,8,1,0,0,1,1
carheadtimedistance,9,7,0,0,9.9,0.1
errorcode,16,8,0,0,255,1
LDWswitch,24,1,0,0,1,1
Left LDW ,26,1,0,0,1,1
Right LDW ,27,1,0,0,1,1
PCW Level,28,2,0,0,3,1
carmonitorswitch,32,1,0,0,1,1
FCW Level,34,2,0,0,3,1
cardiswarning,36,2,0,0,3,1
slide,38,1,0,0,1,1
follow,39,1,0,0,1,1
TTCeffect,40,1,0,0,1,1
TTC,41,7,0,0,12.5,0.1
END,,,,,,
,,,,,,
START,,,,,,
ID,0x790,,,,,
Signal,Start,Len,Offset,Min,Max,Res
device_status,0,2,0,0,3,1
drive_status,2,2,0,0,3,1
obj_nums,4,4,0,0,15,1
sv_leftlane,8,12,-40.96,-40.96,40.94,0.02
sv_rightlane,20,12,-40.96,-40.96,40.94,0.02
leftlane_status,32,2,0,0,3,1
rightlane_status,34,2,0,0,3,1
meas_counter,48,16,0,0,65535,1
END,,,,,,
,,,,,,
START,,,,,,
ID,0x791,,,,,
Signal,Start,Len,Offset,Min,Max,Res
obj_id,0,4,0,0,15,1
obj_x,4,12,-40.96,-40.96,40.94,0.02
obj_y,16,13,0,0,160,0.02
obj_class,29,3,0,0,7,1
obj_x_vrel,32,10,-51.2,-51.2,51.1,0.1
obj_y_vrel,42,14,-204.8,-128,128,0.025
obj_width,56,8,0,0,6.375,0.025
END,,,,,,
,,,,,,
START,,,,,,
ID,0x792,,,,,
Signal,Start,Len,Offset,Min,Max,Res
obj_id,0,4,0,0,15,1
obj_y_arel,4,12,-40.96,-40.96,40.94,0.02
obj_det_prop,16,2,0,0,3,1
obj_ exist_prop,18,2,0,0,3,1
obj_dyn_prop,21,3,0,0,7,1
obj_lane,24,2,0,0,3,1
END,,,,,,
,,,,,,
,,,,,,
START,,,,,,
ID,0x793,,,,,
Signal,Start,Len,Offset,Min,Max,Res
obj_id,0,4,0,0,15,1
obj_x,4,12,-40.96,-40.96,40.94,0.02
obj_y,16,13,0,0,160,0.02
obj_class,29,3,0,0,7,1
obj_x_vrel,32,10,-51.2,-51.2,51.1,0.1
obj_y_vrel,42,14,-204.8,-128,128,0.025
obj_lane,56,2,0,0,3,1
END,,,,,,
,,,,,,
START,,,,,,
ID,0x794,,,,,
