START,,,,,,,
ID,0x700,,,,,,
Signal,Start,Len,Offset,Min,Max,Res,fmt
soundtype,0,3,0,0,7,1,uintle
timedistanceswitch,16,1,0,0,1,1,uintle
carheadtimedistance,17,7,0,0,9.9,0.1,uintle
error,24,1,0,0,1,1,uintle
errorcode,25,7,0,0,124,1,uintle
LDWswitch,32,1,0,0,1,1,uintle
Left LDW,33,1,0,0,1,1,uintle
Right LDW,34,1,0,0,1,1,uintle
fcw_on,35,1,0,0,1,1,uintle
tsr Level,48,3,0,0,7,1,uintle
hmw_level,56,2,0,0,3,1,uintle
hmw_repeat_enable,58,1,0,0,1,1,uintle
END,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
START,,,,,,,
ID,0x766,,,,,,
Signal,Start,Len,Offset,Min,Max,Res,fmt
type,0,4,0,0,15,1,uintle
quality,4,2,0,0,4,1,uintle
model_degree,6,2,0,0,4,1,uintle
c0,8,16,0,-127,128,0.00390625,intle
c2,24,16,-0.032,-0.02,0.02,0.0000009765625,uintle
c3,40,16,-0.00012207,-0.00012,0.00012,0.00000000372529,uintle
width,56,8,0,0,255,0.01,uintle
END,,,,,,,uintle
,,,,,,,uintle
,,,,,,,uintle
,,,,,,,uintle
START,,,,,,,uintle
ID,0x767,,,,,,
Signal,Start,Len,Offset,Min,Max,Res,fmt
heading_angle,0,16,-32,-0.357,0.357,0.000976563,uintle
view_range,16,15,0,0,128,0.00390625,uintle
view_range_valid,31,1,0,1,1,1,uintle
t0,32,32,0,0,1024,1,uintle
END,,,,,,,uintle
,,,,,,,uintle
,,,,,,,uintle
,,,,,,,uintle
START,,,,,,,uintle
ID,0x768,,,,,,uintle
Signal,Start,Len,Offset,Min,Max,Res,fmt
type,0,4,0,0,15,1,uintle
quality,4,2,0,0,4,1,uintle
model_degree,6,2,0,0,4,1,uintle
c0,8,16,0,-127,128,0.00390625,intle
c2,24,16,-0.032,-0.02,0.02,0.0000009765625,uintle
c3,40,16,-0.00012207,-0.00012,0.00012,0.00000000372529,uintle
width,56,8,0,0,255,0.01,uintle
END,,,,,,,uintle
,,,,,,,uintle
,,,,,,,uintle
,,,,,,,uintle
START,,,,,,,uintle
ID,0x769,,,,,,
Signal,Start,Len,Offset,Min,Max,Res,fmt
heading_angle,0,16,-32,-0.357,0.357,0.000976563,uintle
view_range,16,15,0,0,128,0.00390625,uintle
view_range_valid,31,1,0,1,1,1,uintle
t0,32,32,0,0,1024,1,uintle
END,,,,,,,uintle
,,,,,,,uintle
,,,,,,,uintle
,,,,,,,uintle
START,,,,,,,uintle
ID,0x780,,,,,,uintle
Signal,Start,Len,Offset,Min,Max,Res,fmt
soundtype,0,4,0,0,15,1,uintle
timedistanceswitch,8,1,0,0,1,1,uintle
carheadtimedistance,9,7,0,0,9.9,0.1,uintle
errorcode,16,8,0,0,255,1,uintle
LDWswitch,24,1,0,0,1,1,uintle
Left LDW,26,1,0,0,1,1,uintle
Right LDW,27,1,0,0,1,1,uintle
PCW Level,28,2,0,0,3,1,uintle
carmonitorswitch,32,1,0,0,1,1,uintle
FCW Level,34,2,0,0,3,1,uintle
cardiswarning,36,2,0,0,3,1,uintle
slide,38,1,0,0,1,1,uintle
follow,39,1,0,0,1,1,uintle
TTCeffect,40,1,0,0,1,1,uintle
TTC,41,7,0,0,12.5,0.1,uintle
END,,,,,,,
,,,,,,,
START,,,,,,,
ID,0x790,,,,,,
Signal,Start,Len,Offset,Min,Max,Res,fmt
device_status,0,2,0,0,3,1,uintle
drive_status,2,2,0,0,3,1,uintle
obj_nums,4,4,0,0,15,1,uintle
sv_leftlane,8,12,-40.96,-40.96,40.94,0.02,uintle
sv_rightlane,20,12,-40.96,-40.96,40.94,0.02,uintle
leftlane_status,32,2,0,0,3,1,uintle
rightlane_status,34,2,0,0,3,1,uintle
meas_counter,48,16,0,0,65535,1,uintle
END,,,,,,,uintle
,,,,,,,uintle
START,,,,,,,uintle
ID,0x7b0,,,,,,uintle
Signal,Start,Len,Offset,Min,Max,Res,fmt
obj_id,0,4,0,0,15,1,uintle
obj_x,4,12,-40.96,-40.96,40.94,0.02,uintle
obj_y,16,13,0,0,160,0.02,uintle
obj_class,29,3,0,0,7,1,uintle
obj_x_vrel,32,10,-51.2,-51.2,51.1,0.1,uintle
obj_y_vrel,42,14,-204.8,-128,128,0.025,uintle
obj_width,56,8,0,0,6.375,0.025,uintle
END,,,,,,,uintle
,,,,,,,uintle
,,,,,,,uintle
START,,,,,,,uintle
ID,0x79a,,,,,,
Param,Start,Len,Offset,Min,Max,Res,fmt
Quality,0,2,0,0,3,1,uintle
Lane type,2,4,0,0,1,1,uintle
Width marking,24,8,0,0,2.5,0.01,uintle
C0,32,16,-128,-128,127,0.00390625,uintle
C1,48,16,-32,-0.357,0.357,0.000976563,uintle
END,,,,,,,uintle
,,,,,,,uintle
START,,,,,,,uintle
ID,0x79b,,,,,,uintle
Param,Start,Len,Offset,Min,Max,Res,fmt
C2,8,16,-0.032,-0.032,0.032,0.000000977,uintle
C3,24,16,-0.00012207,-0.00012,0.00012,0.00000000373,uintle
View Range,40,15,0,0,127.996,0.003906,uintle
View range valid,55,1,0,0,1,1,uintle
END,,,,,,,uintle
,,,,,,,uintle
,,,,,,,uintle
START,,,,,,,uintle
ID,0x79c,,,,,,uintle
Param,Start,Len,Offset,Min,Max,Res,fmt
Quality,0,2,0,0,3,1,uintle
Lane type,2,4,0,0,1,1,uintle
Width marking,24,8,0,0,2.5,0.01,uintle
C0,32,16,-128,-128,127,0.00390625,uintle
C1,48,16,-32,-0.357,0.357,0.000976563,uintle
END,,,,,,,uintle
,,,,,,,uintle
START,,,,,,,uintle
ID,0x79d,,,,,,uintle
Param,Start,Len,Offset,Min,Max,Res,fmt
C2,8,16,-0.032,-0.032,0.032,0.000000977,uintle
C3,24,16,-0.00012207,-0.00012,0.00012,0.00000000373,uintle
View Range,40,15,0,0,127.996,0.003906,uintle
View range valid,55,1,0,0,1,1,uintle
END,,,,,,,uintle
,,,,,,,uintle
,,,,,,,uintle
START,,,,,,,uintle
ID,0x796,,,,,,uintle
Param,Start,Len,Offset,Min,Max,Res,fmt
nextlanesnumber,0,8,0,0,255,1,uintle
END,,,,,,,uintle
,,,,,,,
,,,,,,,
START,,,,,,,
ID,0x797,,,,,,
Param,Start,Len,Offset,Min,Max,Res,fmt
LaneID,0,3,0,0,8,1,uintle
LaneType,3,4,0,0,16,1,uintle
Quality,8,2,0,0,3,1,uintle
Width marking,24,8,0,0,2.5,0.01,uintle
C0,32,16,-128,-128,127,0.00390625,uintle
C1,48,16,-32,-0.357,0.357,0.000976563,uintle
END,,,,,,,uintle
,,,,,,,
START,,,,,,,
ID,0x798,,,,,,
Param,Start,Len,Offset,Min,Max,Res,fmt
LaneID,0,3,0,0,8,1,uintle
C2,8,16,-0.032,-0.032,0.032,0.000000977,uintle
C3,24,16,-0.00012207,-0.00012,0.00012,0.00000000373,uintle
View Range,40,15,0,0,127.996,0.003906,uintle
View range valid,55,1,0,0,1,1,uintle
END,,,,,,,uintle
,,,,,,,uintle
,,,,,,,
START,,,,,,,
ID,0x7a0,,,,,,
Param,Start,Len,Offset,Min,Max,Res,fmt
speed,0,6,0,0,63,5,uintle
speedsign,6,2,0,0,3,1,uintle
END,,,,,,,uintle
,,,,,,,uintle
,,,,,,,uintle
START,,,,,,,uintle
ID,0xa0,,,,,,uintle
Signal,Start,Len,Offset,Min,Max,Res,fmt
int_1,0,32,0,0,3,1,uintbe
int_2,32,16,0,0,3,1,uintbe
speed,48,16,0,0,15,1,uintbe
END,,,,,,,
,,,,,,,
START,,,,,,,uintle
ID,0x68,,,,,,uintle
Signal,Start,Len,Offset,Min,Max,Res,fmt
t1,0,8,0,0,15,1,uintle
speed_h,8,8,0,0,40.94,1,uintle
t2,16,3,0,0,160,1,uintle
speed_l,19,5,0,0,7,1,uintle
t3,24,8,0,0,51.1,1,uintle
obj_y_vrel,32,32,0,0,128,1,uintle
END,,,,,,,uintle
,,,,,,,
,,,,,,,
START,,,,,,,
ID,0x23a,,,,,,
Signal,Start,Len,Offset,Min,Max,Res,fmt
backdoor,0,1,0,0,1,1,uintle
left,1,1,0,0,1,1,uintle
left_err,2,1,0,0,1,1,uintle
right,3,1,0,0,1,1,uintle
t0,4,12,0,0,1024,1,uintle
t1,16,16,0,0,128,1,uintle
t2,32,32,0,0,128,1,uintle
END,,,,,,,
,,,,,,,
,,,,,,,
START,,,,,,,
ID,0x2d4,,,,,,
Signal,Start,Len,Offset,Min,Max,Res,fmt
left,0,1,0,0,1,1,uintle
right,1,1,0,0,1,1,uintle
t0,2,14,0,0,1024,1,uintle
t1,16,16,0,0,1024,1,uintle
t2,32,32,0,0,1024,1,uintle
END,,,,,,,uintle
,,,,,,,uintle
,,,,,,,
START,,,,,,,
ID,0xe2,,,,,,
Signal,Start,Len,Offset,Min,Max,Res,fmt
t0,0,14,0,0,1024,1,uintle
brake,14,2,0,0,3,1,uintle
t1,16,16,0,0,1024,1,uintle
t2,32,32,0,0,1024,1,uintle
END,,,,,,,uintle
,,,,,,,uintle
,,,,,,,uintle
