frame_index,timestamp,fcw_flag,pdw_flag,tsr_flag,limit_speed
30363,2034596,0,0,0,0
30364,2034662,0,0,0,0
30365,2034729,0,0,0,0
30366,2034797,0,0,0,0
30367,2034862,0,0,0,0
30368,2034929,0,0,0,0
30369,2034996,0,0,0,0
30370,2035062,0,0,0,0
30371,2035140,0,0,0,0
30372,2035196,0,0,0,0
30373,2035262,0,0,0,0
30374,2035329,0,0,0,0
30375,2035396,0,0,0,0
30376,2035462,0,0,0,0
30377,2035529,0,0,0,0
30378,2035596,0,0,0,0
30379,2035662,0,0,0,0
30380,2035729,0,0,0,0
30381,2035796,0,0,0,0
30382,2035862,0,0,0,0
30383,2035929,0,0,0,0
30384,2035998,0,0,0,0
30385,2036062,0,0,0,0
30386,2036129,0,0,0,0
30387,2036196,0,0,0,0
30388,2036262,0,0,0,0
30389,2036329,0,0,0,0
30390,2036396,0,0,0,0
30391,2036462,0,0,0,0
30392,2036529,0,0,0,0
30393,2036596,0,0,0,0
30394,2036662,0,0,0,0
30395,2036729,0,0,0,0
30396,2036796,0,0,0,0
30397,2036862,0,0,0,0
30398,2036929,0,0,0,0
30399,2036996,0,0,0,0
30400,2037062,0,0,0,0
30401,2037129,0,0,0,0
30402,2037195,0,0,0,0
30403,2037262,0,0,0,0
30404,2037329,0,0,0,0
30405,2037395,0,0,0,0
30406,2037462,0,0,0,0
30407,2037529,0,0,0,0
30408,2037600,0,0,0,0
30409,2037666,0,0,0,0
30410,2037729,0,0,0,0
30411,2037795,0,0,0,0
30412,2037862,0,0,0,0
30413,2037929,0,0,0,0
30414,2037995,0,0,0,0
30415,2038062,0,0,0,0
30416,2038129,0,0,0,0
30417,2038195,0,0,0,0
30418,2038262,0,0,0,0
30419,2038329,0,0,0,0
30420,2038395,0,0,0,0
30421,2038468,0,0,0,0
30422,2038529,0,0,0,0
30423,2038595,0,0,0,0
30424,2038662,0,0,0,0
30425,2038729,0,0,0,0
30426,2038795,0,0,0,0
30427,2038862,0,0,0,0
30428,2038929,0,0,0,0
30429,2038995,0,0,0,0
30430,2039062,0,0,0,0
30431,2039129,0,0,0,0
30432,2039195,0,0,0,0
30433,2039262,0,0,0,0
30434,2039329,0,0,0,0
30435,2039395,0,0,0,0
30436,2039462,0,0,0,0
30437,2039529,0,0,0,0
30438,2039595,0,0,0,0
30439,2039662,0,0,0,0
30440,2039729,0,0,0,0
30441,2039795,0,0,0,0
30442,2039862,0,0,0,0
30443,2039929,0,0,0,0
30444,2039995,0,0,0,0
30445,2040062,0,0,0,0
30446,2040129,0,0,0,0
30447,2040195,0,0,0,0
30448,2040262,0,0,0,0
30449,2040329,0,0,0,0
30450,2040395,0,0,0,0
30451,2040462,0,0,0,0
30452,2040529,0,0,0,0
30453,2040595,0,0,0,0
30454,2040662,0,0,0,0
30455,2040728,0,0,0,0
30456,2040795,0,0,0,0
30457,2040862,0,0,0,0
30458,2040928,0,0,0,0
30459,2040995,0,0,0,0
30460,2041062,0,0,0,0
30461,2041128,0,0,0,0
30462,2041195,0,0,0,0
30463,2041262,0,0,0,0
30464,2041328,0,0,0,0
30465,2041395,0,0,0,0
30466,2041462,0,0,0,0
30467,2041528,0,0,0,0
30468,2041595,0,0,0,0
30469,2041662,0,0,0,0
30470,2041728,0,0,0,0
30471,2041799,0,0,0,0
30472,2041862,0,0,0,0
30473,2041928,0,0,0,0
30474,2041995,0,0,0,0
30475,2042062,0,0,0,0
30476,2042128,0,0,0,0
30477,2042195,0,0,0,0
30478,2042262,0,0,0,0
30479,2042328,0,0,0,0
30480,2042395,0,0,0,0
30481,2042462,0,0,0,0
30482,2042528,0,0,0,0
30483,2042595,0,0,0,0
30484,2042662,0,0,0,0
30485,2042728,0,0,0,0
30486,2042795,0,0,0,0
30487,2042862,0,0,0,0
30488,2042928,0,0,0,0
30489,2042995,0,0,0,0
30490,2043062,0,0,0,0
30491,2043128,0,0,0,0
30492,2043195,0,0,0,0
30493,2043262,0,0,0,0
30494,2043328,0,0,0,0
30495,2043395,0,0,0,0
30496,2043470,0,0,0,0
30497,2043528,0,0,0,0
30498,2043595,0,0,0,0
30499,2043662,0,0,0,0
30500,2043728,0,0,0,0
30501,2043795,0,0,0,0
30502,2043862,0,0,0,0
30503,2043928,0,0,0,0
30504,2043995,0,0,0,0
30505,2044062,0,0,0,0
30506,2044128,0,0,0,0
30507,2044195,0,0,0,0
30508,2044261,0,0,0,0
30509,2044329,0,0,0,0
30510,2044395,0,0,0,0
30511,2044461,0,0,0,0
30512,2044528,0,0,0,0
30513,2044595,0,0,0,0
30514,2044661,0,0,0,0
30515,2044728,0,0,0,0
30516,2044795,0,0,0,0
30517,2044861,0,0,0,0
30518,2044928,0,0,0,0
30519,2044995,0,0,0,0
30520,2045061,0,0,0,0
30521,2045128,0,0,0,0
30522,2045195,0,0,0,0
30523,2045261,0,0,0,0
30524,2045328,0,0,0,0
30525,2045395,0,0,0,0
30526,2045461,0,0,0,0
30527,2045528,0,0,0,0
30528,2045595,0,0,0,0
30529,2045661,0,0,0,0
30530,2045728,0,0,0,0
30531,2045795,0,0,0,0
30532,2045861,0,0,0,0
30533,2045928,0,0,0,0
30534,2045995,0,0,0,0
30535,2046061,0,0,0,0
30536,2046128,0,0,0,0
30537,2046195,0,0,0,0
30538,2046261,0,0,0,0
30539,2046328,0,0,0,0
30540,2046395,0,0,0,0
30541,2046461,0,0,0,0
30542,2046528,0,0,0,0
30543,2046595,0,0,0,0
30544,2046661,0,0,0,0
30545,2046728,0,0,0,0
30546,2046795,0,0,0,0
30547,2046861,0,0,0,0
30548,2046928,0,0,0,0
30549,2046995,0,0,0,0
30550,2047061,0,0,0,0
30551,2047128,0,0,0,0
30552,2047195,0,0,0,0
30553,2047261,0,0,0,0
30554,2047328,0,0,0,0
30555,2047395,0,0,0,0
30556,2047461,0,0,0,0
30557,2047530,0,0,0,0
30558,2047597,0,0,0,0
30559,2047661,0,0,0,0
30560,2047728,0,0,0,0
30561,2047795,0,0,0,0
30562,2047861,0,0,0,0
30563,2047928,0,0,0,0
30564,2047994,0,0,0,0
30565,2048061,0,0,0,0
30566,2048128,0,0,0,0
30567,2048194,0,0,0,0
30568,2048261,0,0,0,0
30569,2048328,0,0,0,0
30570,2048394,0,0,0,0
30571,2048461,0,0,0,0
30572,2048528,0,0,0,0
30573,2048594,0,0,0,0
30574,2048661,0,0,0,0
30575,2048728,0,0,0,0
30576,2048794,0,0,0,0
30577,2048861,0,0,0,0
30578,2048928,0,0,0,0
30579,2048994,0,0,0,0
30580,2049061,0,0,0,0
30581,2049128,0,0,0,0
30582,2049194,0,0,0,0
30583,2049261,0,0,0,0
30584,2049328,0,0,0,0
30585,2049394,0,0,0,0
30586,2049461,0,0,0,0
30587,2049528,0,0,0,0
30588,2049594,0,0,0,0
30589,2049661,0,0,0,0
30590,2049728,0,0,0,0
30591,2049794,0,0,0,0
30592,2049861,0,0,0,0
30593,2049928,0,0,0,0
30594,2049999,0,0,0,0
30595,2050061,0,0,0,0
30596,2050128,0,0,0,0
30597,2050194,0,0,0,0
30598,2050261,0,0,0,0
30599,2050328,0,0,0,0
30600,2050394,0,0,0,0
30601,2050461,0,0,0,0
30602,2050528,0,0,0,0
30603,2050594,0,0,0,0
30604,2050661,0,0,0,0
30605,2050728,0,0,0,0
30606,2050794,0,0,0,0
30607,2050861,0,0,0,0
30608,2050928,0,0,0,0
30609,2050994,0,0,0,0
30610,2051061,0,0,0,0
30611,2051128,0,0,0,0
30612,2051194,0,0,0,0
30613,2051261,0,0,0,0
30614,2051328,0,0,0,0
30615,2051394,0,0,0,0
30616,2051461,0,0,0,0
30617,2051527,0,0,0,0
30618,2051594,0,0,0,0
30619,2051661,0,0,0,0
30620,2051727,0,0,0,0
30621,2051794,0,0,0,0
30622,2051861,0,0,0,0
30623,2051927,0,0,0,0
30624,2052000,0,0,0,0
30625,2052063,0,0,0,0
30626,2052127,0,0,0,0
30627,2052194,0,0,0,0
30628,2052261,0,0,0,0
30629,2052327,0,0,0,0
30630,2052394,0,0,0,0
30631,2052461,0,0,0,0
30632,2052527,0,0,0,0
30633,2052594,0,0,0,0
30634,2052661,0,0,0,0
30635,2052727,0,0,0,0
30636,2052794,0,0,0,0
30637,2052861,0,0,0,0
30638,2052927,0,0,0,0
30639,2052994,0,0,0,0
30640,2053061,0,0,0,0
30641,2053127,0,0,0,0
30642,2053194,0,0,0,0
30643,2053261,0,0,0,0
30644,2053327,0,0,0,0
30645,2053394,0,0,0,0
30646,2053461,0,0,0,0
30647,2053527,0,0,0,0
30648,2053594,0,0,0,0
30649,2053661,0,0,0,0
30650,2053727,0,0,0,0
30651,2053794,0,0,0,0
30652,2053861,0,0,0,0
30653,2053929,0,0,0,0
30654,2053994,0,0,0,0
30655,2054061,0,0,0,0
30656,2054127,0,0,0,0
30657,2054194,0,0,0,0
30658,2054261,0,0,0,0
30659,2054327,0,0,0,0
30660,2054398,0,0,0,0
30661,2054461,0,0,0,0
30662,2054527,0,0,0,0
30663,2054594,0,0,0,0
30664,2054661,0,0,0,0
30665,2054727,0,0,0,0
30666,2054794,0,0,0,0
30667,2054861,0,0,0,0
30668,2054927,0,0,0,0
30669,2054994,0,0,0,0
30670,2055060,0,0,0,0
