START,,,,,,,
ID,0x700,,,,,,
Signal,Start,Len,Offset,Min,Max,Res,fmt
soundtype,0,3,0,0,7,1,uintle
timedistanceswitch,16,1,0,0,1,1,uintle
carheadtimedistance,17,7,0,0,9.9,0.1,uintle
error,24,1,0,0,1,1,uintle
errorcode,25,7,0,0,124,1,uintle
LDWswitch,32,1,0,0,1,1,uintle
Left LDW,33,1,0,0,1,1,uintle
Right LDW,34,1,0,0,1,1,uintle
fcw_on,35,1,0,0,1,1,uintle
tsr Level,48,3,0,0,7,1,uintle
hmw_level,56,2,0,0,3,1,uintle
hmw_repeat_enable,58,1,0,0,1,1,uintle
END,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,uintle
,,,,,,,uintle
,,,,,,,uintle
START,,,,,,,uintle
ID,0x780,,,,,,uintle
Signal,Start,Len,Offset,Min,Max,Res,fmt
soundtype,0,4,0,0,15,1,uintle
timedistanceswitch,8,1,0,0,1,1,uintle
carheadtimedistance,9,7,0,0,9.9,0.1,uintle
errorcode,16,8,0,0,255,1,uintle
LDWswitch,24,1,0,0,1,1,uintle
Left LDW,26,1,0,0,1,1,uintle
Right LDW,27,1,0,0,1,1,uintle
PCW Level,28,2,0,0,3,1,uintle
carmonitorswitch,32,1,0,0,1,1,uintle
FCW Level,34,2,0,0,3,1,uintle
cardiswarning,36,2,0,0,3,1,uintle
slide,38,1,0,0,1,1,uintle
follow,39,1,0,0,1,1,uintle
TTCeffect,40,1,0,0,1,1,uintle
TTC,41,7,0,0,12.5,0.1,uintle
END,,,,,,,
,,,,,,,
,,,,,,,uintle
,,,,,,,uintle
START,,,,,,,uintle
ID,0xa0,,,,,,uintle
Signal,Start,Len,Offset,Min,Max,Res,fmt
int_1,0,32,0,0,3,1,uintbe
int_2,32,16,0,0,3,1,uintbe
speed,48,16,0,0,15,1,uintbe
END,,,,,,,
,,,,,,,
START,,,,,,,uintle
ID,0x68,,,,,,uintle
Signal,Start,Len,Offset,Min,Max,Res,fmt
t1,0,8,0,0,15,1,uintle
speed_h,8,8,0,0,40.94,1,uintle
t2,16,3,0,0,160,1,uintle
speed_l,19,5,0,0,7,1,uintle
t3,24,8,0,0,51.1,1,uintle
obj_y_vrel,32,32,0,0,128,1,uintle
END,,,,,,,uintle
,,,,,,,
,,,,,,,
START,,,,,,,
ID,0x23a,,,,,,
Signal,Start,Len,Offset,Min,Max,Res,fmt
backdoor,0,1,0,0,1,1,uintle
left,1,1,0,0,1,1,uintle
left_err,2,1,0,0,1,1,uintle
right,3,1,0,0,1,1,uintle
t0,4,12,0,0,1024,1,uintle
t1,16,16,0,0,128,1,uintle
t2,32,32,0,0,128,1,uintle
END,,,,,,,
,,,,,,,
,,,,,,,
START,,,,,,,
ID,0x2d4,,,,,,
Signal,Start,Len,Offset,Min,Max,Res,fmt
left,0,1,0,0,1,1,uintle
right,1,1,0,0,1,1,uintle
t0,2,14,0,0,1024,1,uintle
t1,16,16,0,0,1024,1,uintle
t2,32,32,0,0,1024,1,uintle
END,,,,,,,uintle
,,,,,,,uintle
,,,,,,,
START,,,,,,,
ID,0xe2,,,,,,
Signal,Start,Len,Offset,Min,Max,Res,fmt
t0,0,14,0,0,1024,1,uintle
brake,14,2,0,0,3,1,uintle
t1,16,16,0,0,1024,1,uintle
t2,32,32,0,0,1024,1,uintle
END,,,,,,,uintle
,,,,,,,uintle
,,,,,,,uintle
